Department,Municipality,Total 2005,Households 2005
Cundinamarca,Une,7856,2049
Cundinamarca,Útica,4209,1268
Cundinamarca,Vergara,7339,2277
Cundinamarca,Vianí,3992,1152
Cundinamarca,Villagómez,2104,578
Cundinamarca,Villapinzón,16217,3871
Cundinamarca,Villeta,23620,6696
Cundinamarca,Viotá,13073,3876
Cundinamarca,Yacopí,15840,4438
Cundinamarca,Zipacón,4916,1374
Cundinamarca,Zipaquirá,100038,26730
Chocó,Quibdó,109121,25126
Chocó,Acandí,9091,2487
Chocó,Alto Baudo,28502,5067
Chocó,Atrato,5295,
Chocó,Bagadó,8174,1748
Chocó,Bahía Solano,8785,2125
Chocó,Bajo Baudó,15919,2991
Chocó,Belén de Bajirá1,13268,3089
Chocó,Bojaya,8796,1930
Chocó,El Cantón del San Pablo,4413,1060
Chocó,Carmen del Darien,4191,953
Chocó,Cértegui,6797,1598
Chocó,Condoto,12404,2992
Chocó,El Carmen de Atrato,7076,2075
Chocó,El Litoral del San Juan,7176,
Chocó,Istmina,23359,5602
Chocó,Juradó,2792,591
Chocó,Lloró,8072,1772
Chocó,Medio Atrato,9056,
Chocó,Medio Baudó,9358,1985
Chocó,Medio San Juan,10247,2717
Chocó,Nóvita,5708,1614
Chocó,Nuquí,6295,1497
Chocó,Río Iro,5844,1362
Chocó,Río Quito,6069,1283
Chocó,Riosucio,13831,3201
Chocó,San José del Palmar,3998,1008
Chocó,Sipí,2848,757
Chocó,Tadó,15962,3476
Chocó,Unguía,10446,2554
Chocó,Unión Panamericana,5583,1305
Huila,Neiva,315332,84126
Huila,Acevedo,26597,5872
Huila,Agrado,8459,2069
Huila,Aipe,19928,4879
Huila,Algeciras,23054,6032
Huila,Altamira,3609,1014
Huila,Baraya,4354,1087
Huila,Campoalegre,32101,8250
Huila,Colombia,8648,2171
Huila,Elías,3342,873
Huila,Garzón,70144,16363
Huila,Gigante,28174,7326
Huila,Guadalupe,16067,3817
Huila,Hobo,6521,1691
Huila,Iquira,9947,2574
Huila,Isnos,23756,5426
Huila,La Argentina,11674,2743
Huila,La Plata,52549,12005
Huila,Nátaga,5807,1413
Huila,Oporapa,10139,1881
Huila,Paicol,5186,1327
Huila,Palermo,27282,6909
Huila,Palestina,10268,2338
Huila,Pital,12811,2911
Huila,Pitalito,102937,25020
Huila,Rivera,16654,4322
Huila,Saladoblanco,10262,2379
Huila,San Agustín,29699,6972
Huila,Santa María,10191,2359
Huila,Suaza,14617,3460
Huila,Tarqui,15921,3557
Huila,Tesalia,8845,2233
Huila,Tello,13447,2981
Huila,Teruel,8198,2025
Huila,Timaná,19787,4939
Huila,Villavieja,7314,1967
Huila,Yaguará,7855,2157
La Guajira,Riohacha,169311,36812
La Guajira,Albania,19429,3898
La Guajira,Barrancas,26462,5492
La Guajira,Dibulla,22000,4632
La Guajira,Distracción,12023,2264
La Guajira,El Molino,7346,1369
La Guajira,Fonseca,26881,5693
La Guajira,Hatonuevo,14796,2939
La Guajira,La Jagua del Pilar,2732,424
La Guajira,Maicao,103124,16590
La Guajira,Manaure,68578,14985
La Guajira,San Juan del Cesar,29532,6595
La Guajira,Uribia,116674,19346
La Guajira,Urumita,13450,2598
La Guajira,Villanueva,23605,5056
Magdalena,Santa Marta,414387,95613
Magdalena,Algarrobo,11556,2410
Magdalena,Aracataca,34929,7290
Magdalena,Ariguaní,30568,6756
Magdalena,Cerro San Antonio,8058,1656
Magdalena,Chibolo,16018,3623
Magdalena,Ciénaga,100908,21509
Magdalena,Concordia,9922,2261
Magdalena,El Banco,53544,11177
Magdalena,El Piñon,16684,3680
Magdalena,El Retén,18417,3575
Magdalena,Fundación,56107,12080
Magdalena,Guamal,24052,5219
Magdalena,Nueva Granada,16006,3166
Magdalena,Pedraza,7865,1583
Magdalena,Pijiño del Carmen,13850,2411
Magdalena,Pivijay,35379,8119
Magdalena,Plato,48898,11604
Magdalena,Puebloviejo,24865,5563
Magdalena,Remolino,7840,1561
Magdalena,Sabanas de San Angel,14353,3143
Magdalena,Salamina,8239,1825
Magdalena,San Sebastián de Buenavista,17930,3768
Magdalena,San Zenón,8749,1770
Magdalena,Santa Ana,22840,4378
Magdalena,Santa Bárbara de Pinto,10919,1864
Magdalena,Sitionuevo,26777,6305
Magdalena,Tenerife,12291,2525
Magdalena,Zapayán,8464,1807
Magdalena,Zona Bananera,56404,11710
Meta,Villavicencio,384131,102795
Meta,Acacías,54753,14092
Meta,Barranca de Upía,3232,868
Meta,Cabuyaro,3660,920
Meta,Castilla la Nueva,7258,1906
Meta,Cubarral,5174,1367
Meta,Cumaral,16634,4129
Meta,El Calvario,2256,514
Meta,El Castillo,5571,1529
Meta,El Dorado,3168,802
Meta,Fuente de Oro,11162,2940
Meta,Granada,50837,12559
Meta,Guamal,8933,2502
Meta,Mapiripán,866,
Meta,Mesetas,4677,1245
Meta,La Macarena,4313,1057
Meta,Uribe,8180,2000
Meta,Lejanías,9091,2379
Meta,Puerto Concordia,8451,2390
Meta,Puerto Gaitán,15475,3108
Meta,Puerto López,28922,7609
Meta,Puerto Lleras,10582,2704
Meta,Puerto Rico,7205,1777
Meta,Restrepo,10112,2679
Meta,San Carlos de Guaroa,6909,1669
Meta,San Juan de Arama,7020,1755
Meta,San Juanito,1879,408
Meta,San Martín,21511,5669
Meta,Vistahermosa,11810,3218
Nariño,Pasto,383846,96364
Nariño,Albán,19367,4539
Nariño,Aldana,6780,1515
Nariño,Ancuyá,8304,2322
Nariño,Arboleda,7442,1752
Nariño,Barbacoas,30256,6339
Nariño,Belén,4925,1387
Nariño,Buesaco,21019,5131
Nariño,Colón,9672,2273
Nariño,Consaca,10209,2768
Nariño,Contadero,6639,1419
Nariño,Córdoba,13463,3273
Nariño,Cuaspud,8108,1829
Nariño,Cumbal,22418,5437
