Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Cundinamarca,Arbeláez,10860,4843,3441,10005
Cundinamarca,Beltrán,1789,875,655,1720
Cundinamarca,Bituima,2467,1298,902,2224
Cundinamarca,Bojacá,9913,3402,3027,9674
Cundinamarca,Cabrera,4722,1601,1442,4512
Cundinamarca,Cachipay,9972,4743,3568,9274
Cundinamarca,Cajicá,82244,28105,26416,81111
Cundinamarca,Caparrapí,12569,5461,4131,10301
Cundinamarca,Caqueza,17099,7351,5501,15594
Cundinamarca,Carmen de Carupa,7580,3813,2425,7345
Cundinamarca,Chaguaní,4182,1614,1315,3323
Cundinamarca,Chía,132181,43193,43642,129613
Cundinamarca,Chipaque,9467,3225,2815,8633
Cundinamarca,Choachí,10961,4833,3567,10397
Cundinamarca,Chocontá,20568,8022,6010,19825
Cundinamarca,Cogua,22067,6926,6588,21102
Cundinamarca,Cota,32691,10472,9855,31868
Cundinamarca,Cucunubá,7626,2624,2083,7013
Cundinamarca,El Colegio,23886,13275,9317,22775
Cundinamarca,El Peñón,4681,2360,1420,3458
Cundinamarca,El Rosal,22065,7179,7376,21887
Cundinamarca,Facatativá,139441,43698,44648,136041
Cundinamarca,Fomeque,11986,4734,3758,10749
Cundinamarca,Fosca,5784,2477,1832,5578
Cundinamarca,Funza,93154,30940,29935,90854
Cundinamarca,Fúquene,4904,2030,1477,4849
Cundinamarca,Fusagasugá,138498,62229,48627,134658
Cundinamarca,Gachala,4436,2067,1600,4378
Cundinamarca,Gachancipá,17026,5995,5401,16633
Cundinamarca,Gachetá,8425,4761,2972,8203
Cundinamarca,Gama,3120,1916,1121,3055
Cundinamarca,Girardot,101018,39729,35119,92903
Cundinamarca,Granada,7179,2608,2210,6922
Cundinamarca,Guachetá,13285,5244,4227,12405
Cundinamarca,Guaduas,30524,11604,9258,27571
Cundinamarca,Guasca,15348,6149,4870,14992
Cundinamarca,Guataquí,2848,828,1035,1977
Cundinamarca,Guatavita,6325,2795,2004,6148
Cundinamarca,Guayabal de Siquima,4444,2074,1385,3604
Cundinamarca,Guayabetal,6232,2341,1986,5809
Cundinamarca,Gutiérrez,3410,1508,1195,3311
Cundinamarca,Jerusalén,2281,1028,981,2025
Cundinamarca,Junín,5823,3306,1879,5234
Cundinamarca,La Calera,29868,12755,9349,28501
Cundinamarca,La Mesa,32694,17819,11302,29452
Cundinamarca,La Palma,9467,4496,3087,7708
Cundinamarca,La Peña,5911,2641,2095,5429
Cundinamarca,La Vega,16986,8041,4551,13085
Cundinamarca,Lenguazaque,10080,3504,2864,9425
Cundinamarca,Macheta,6124,3472,2262,6057
Cundinamarca,Madrid,112254,38770,35557,109696
Cundinamarca,Manta,3737,2631,1359,3354
Cundinamarca,Medina,8014,3599,2731,7281
Cundinamarca,Mosquera,130221,42438,41631,128893
Cundinamarca,Nariño,2333,1348,860,2101
Cundinamarca,Nemocón,13171,4416,4048,12198
Cundinamarca,Nilo,10819,4019,2840,10555
Cundinamarca,Nimaima,3589,1662,1324,3086
Cundinamarca,Nocaima,6092,2802,2015,5211
Cundinamarca,Venecia,4218,1932,1521,4130
Cundinamarca,Pacho,24413,11430,8859,23726
