Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"La Unión, Antioquia",Antioquia,La Unión,21475,7481,6210,20769,17836,4377.0,0.014384832492032595,0.02727276281459523,0.8301029274161208,"La Unión, Oriente, Antioquia, Región Andina, Colombia","(5.951615800000001, -75.36359699712276, 0.0)",5.951615800000001,-75.36359699712276,0.0
"Liborina, Antioquia",Antioquia,Liborina,10028,4204,2588,7928,9370,2420.0,0.005234273041483828,0.005176261286520933,0.615604186489058,"Liborina, Occidente, Antioquia, Región Andina, Colombia","(6.72352865, -75.787421501119, 0.0)",6.72352865,-75.787421501119,0.0
"Maceo, Antioquia",Antioquia,Maceo,8221,3469,2554,7297,7534,2075.0,0.006735330764827907,0.016105205595369654,0.7362352262899972,"Maceo, Magdalena Medio, Antioquia, Región Andina, Colombia","(6.52469375, -74.73848695940998, 0.0)",6.52469375,-74.73848695940998,0.0
"Marinilla, Antioquia",Antioquia,Marinilla,64645,20714,18461,55230,45658,11238.0,0.027109564803782016,0.03891978019473963,0.8912329825238969,"Marinilla, Oriente, Antioquia, Región Andina, 054020, Colombia","(6.1781321, -75.30746437196609, 0.0)",6.1781321,-75.30746437196609,0.0
"Montebello, Antioquia",Antioquia,Montebello,6680,3462,2052,5881,7389,1856.0,-0.007729543037342856,0.007752301839110576,0.5927209705372617,"Montebello, Suroeste, Antioquia, Región Andina, Colombia","(5.9189243000000005, -75.51309469944826, 0.0)",5.9189243000000005,-75.51309469944826,0.0
"Murindó, Antioquia",Antioquia,Murindó,4911,1257,1156,4642,3499,815.0,0.026419930317139517,0.02725186974158289,0.9196499602227526,"Murindó, Cañasgordas, Occidente, Antioquia, Región Andina, Colombia","(6.8228719, -76.1196389, 0.0)",6.8228719,-76.1196389,0.0
"Mutatá, Antioquia",Antioquia,Mutatá,13991,5022,3706,12607,9671,2345.0,0.02881365784595702,0.03583224980561073,0.737953006770211,"Mutatá, Urabá, Antioquia, Región Andina, Colombia","(7.3429226, -76.50409456256443, 0.0)",7.3429226,-76.50409456256443,0.0
"Nariño, Antioquia",Antioquia,Nariño,10153,4216,2858,8603,9043,2354.0,0.008945795859546246,0.015035455994228952,0.6778937381404174,"Nariño, Oriente, Antioquia, Región Andina, Colombia","(5.5520075, -75.19089053012772, 0.0)",5.5520075,-75.19089053012772,0.0
"Necoclí, Antioquia",Antioquia,Necoclí,42281,13808,11583,38420,48679,10107.0,-0.010780691363412975,0.01054056855391483,0.838861529548088,"Necoclí, Urabá, Antioquia, Región Andina, Colombia","(8.4920297, -76.65446581673163, 0.0)",8.4920297,-76.65446581673163,0.0
"Nechí, Antioquia",Antioquia,Nechí,25790,8114,7328,24066,17789,4077.0,0.028981762488190732,0.04613578364992654,0.9031303919152083,"Nechí, Bajo Cauca, Antioquia, Región Andina, Colombia","(7.9838411, -74.68428522913838, 0.0)",7.9838411,-74.68428522913838,0.0
"Olaya, Antioquia",Antioquia,Olaya,3127,1551,982,2719,2906,789.0,0.005654117859375418,0.01697515934653504,0.6331399097356544,"Olaya, Occidente, Antioquia, Región Andina, Colombia","(6.6021088500000005, -75.78350538291178, 0.0)",6.6021088500000005,-75.78350538291178,0.0
"Peñol, Antioquia",Antioquia,Peñol,21049,10382,6120,18010,16177,4489.0,0.0204574091621037,0.024127400668918275,0.5894817954151416,"Peñol, Oriente, Antioquia, Región Andina, Colombia","(6.2541153000000005, -75.23635342556997, 0.0)",6.2541153000000005,-75.23635342556997,0.0
"Peque, Antioquia",Antioquia,Peque,8097,3114,2138,7155,7520,1748.0,0.0057029297363511144,0.015612821198174531,0.6865767501605652,"Peque, Occidente, Antioquia, Región Andina, 057010, Colombia","(7.0467815, -75.87543069207521, 0.0)",7.0467815,-75.87543069207521,0.0
"Pueblorrico, Antioquia",Antioquia,Pueblorrico,8664,3029,2366,7202,8168,2145.0,0.004545099993999102,0.007571691621758303,0.7811158798283262,"Pueblorrico, Suroeste, Antioquia, Región Andina, Colombia","(5.82192475, -75.86037821241234, 0.0)",5.82192475,-75.86037821241234,0.0
"Puerto Berrío, Antioquia",Antioquia,Puerto Berrío,39314,14837,12676,36801,38944,10324.0,0.0007276471245465377,0.015912910723193008,0.8543506099615825,"Puerto Berrío, Magdalena Medio, Antioquia, Región Andina, Colombia","(6.4899205, -74.4020634, 0.0)",6.4899205,-74.4020634,0.0
"Puerto Nare, Antioquia",Antioquia,Puerto Nare,14380,5772,4406,12161,16711,4588.0,-0.011489549226152085,-0.003108769345016027,0.7633402633402634,"Puerto Nare, Magdalena Medio, Antioquia, Región Andina, 00000, Colombia","(6.1400245, -74.71108294703089, 0.0)",6.1400245,-74.71108294703089,0.0
"Puerto Triunfo, Antioquia",Antioquia,Puerto Triunfo,18055,6055,5214,17231,16349,4446.0,0.007664292347625334,0.012332541675565079,0.8611065235342692,"Puerto Triunfo, Magdalena Medio, Antioquia, Región Andina, Colombia","(5.9550443, -74.71424359245077, 0.0)",5.9550443,-74.71424359245077,0.0
"Remedios, Antioquia",Antioquia,Remedios,28415,9850,7241,22530,20675,5324.0,0.02476254054230065,0.02393852812003927,0.7351269035532995,"Remedios, Nordeste, Antioquia, Región Andina, Colombia","(6.98404285, -74.5488049638215, 0.0)",6.98404285,-74.5488049638215,0.0
"Retiro, Antioquia",Antioquia,Retiro,23514,10013,7010,20700,16974,4468.0,0.02538714961951527,0.03525307032300451,0.7000898831519026,"Retiro, Oriente, Antioquia, Región Andina, Colombia","(6.06171475, -75.51064152773847, 0.0)",6.06171475,-75.51064152773847,0.0
"Rionegro, Antioquia",Antioquia,Rionegro,135465,47448,39682,116400,101046,26296.0,0.02280518545299226,0.03215863664354579,0.836326083291182,"Rionegro, Oriente, Antioquia, Región Andina, 50-59, Colombia","(6.1536166, -75.3741691, 0.0)",6.1536166,-75.3741691,0.0
"Sabanalarga, Antioquia",Antioquia,Sabanalarga,9032,4327,2431,7833,8136,1888.0,0.008068931153950798,0.01963525616994466,0.5618211231800323,"Sabanalarga, Occidente, Antioquia, Región Andina, Colombia","(6.921337100000001, -75.78195513626483, 0.0)",6.921337100000001,-75.78195513626483,0.0
"Sabaneta, Antioquia",Antioquia,Sabaneta,82375,34661,29595,81797,44874,12399.0,0.047833688640602334,0.06921237279401748,0.8538414933210237,"Sabaneta, Valle de Aburrá, Antioquia, Región Andina, Colombia","(6.13882045, -75.60974996866784, 0.0)",6.13882045,-75.60974996866784,0.0
"Salgar, Antioquia",Antioquia,Salgar,18258,6309,5315,15782,18074,4252.0,0.0007794496641417847,0.01731305178338105,0.8424472975114915,"Salgar, Suroeste, Antioquia, Región Andina, Colombia","(5.9667752499999995, -75.98757921282362, 0.0)",5.9667752499999995,-75.98757921282362,0.0
